Cuvant: ~If~; Parti-Intrari: ~interjectie/prepozitie/conjunctie-469~
Cuvant: ~Cardinals~; Parti-Intrari: ~substantiv-5~
Cuvant: ~heed~; Parti-Intrari: ~verb-3#substantiv-1~
Cuvant: ~Manager~; Parti-Intrari: ~substantiv-7~
Cuvant: ~Gene~; Parti-Intrari: ~substantiv-8~
Cuvant: ~Mauch~; Parti-Intrari: ~substantiv-2~
Cuvant: ~Phillies~; Parti-Intrari: ~substantiv-3~
Cuvant: ~,~; Parti-Intrari: ~punctuatie-35106#adverb-1~
Cuvant: ~misled~; Parti-Intrari: ~verb-2~
Cuvant: ~Pirates'~; Parti-Intrari: ~substantiv-1~
Cuvant: ~slower~; Parti-Intrari: ~adjectiv-4~
Cuvant: ~start~; Parti-Intrari: ~verb-57#substantiv-37~
Cuvant: ~season~; Parti-Intrari: ~substantiv-82~
Cuvant: ~.~; Parti-Intrari: ~punctuatie-30410~
Cuvant: ~``~; Parti-Intrari: ~punctuatie-5853~
Cuvant: ~Pittsburgh~; Parti-Intrari: ~substantiv-17~
Cuvant: ~team~; Parti-Intrari: ~substantiv-62~
Cuvant: ~beat~; Parti-Intrari: ~verb-19#substantiv-8~
Cuvant: ~''~; Parti-Intrari: ~punctuatie-5797~
Cuvant: ~day~; Parti-Intrari: ~substantiv-398~
Cuvant: ~The~; Parti-Intrari: ~articol-4061~
Cuvant: ~Pirates~; Parti-Intrari: ~substantiv-8~
Cuvant: ~outclass~; Parti-Intrari: ~verb-1~
Cuvant: ~field~; Parti-Intrari: ~substantiv-140#verb-1~
Cuvant: ~They~; Parti-Intrari: ~pronume-511~
Cuvant: ~age~; Parti-Intrari: ~substantiv-104~
Cuvant: ~injuries~; Parti-Intrari: ~substantiv-7~
Cuvant: ~Vinegar~; Parti-Intrari: ~substantiv-1~
Cuvant: ~Bend~; Parti-Intrari: ~substantiv-3~
Cuvant: ~Mizell~; Parti-Intrari: ~substantiv-3~
Cuvant: ~Bobby~; Parti-Intrari: ~substantiv-19~
Cuvant: ~Shantz~; Parti-Intrari: ~substantiv-1~
Cuvant: ~Tonight~; Parti-Intrari: ~adverb-2~
Cuvant: ~o'clock~; Parti-Intrari: ~adverb-26~
Cuvant: ~trouble~; Parti-Intrari: ~substantiv-98#verb-3~
Cuvant: ~breaking~; Parti-Intrari: ~verb-12#substantiv-2~
Cuvant: ~shot~; Parti-Intrari: ~substantiv-40#verb-12~
Cuvant: ~baseball's~; Parti-Intrari: ~substantiv-3~
Cuvant: ~champions~; Parti-Intrari: ~substantiv-6~
Cuvant: ~9-6~; Parti-Intrari: ~substantiv-1~
Cuvant: ~record~; Parti-Intrari: ~substantiv-88#verb-6~
Cuvant: ~Redbirds~; Parti-Intrari: ~substantiv-3~
